id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44319792,Pera tunnel suites,357485008,Yusuf,,Beyoglu,41.03094,28.97527,Entire home/apt,170,1,4,2020-11-19,0.69,7,365
44319836,(1+1) 3 KİŞİLİK KAHVALTI DAHİL DAİRE,305126162,Emin,,Pendik,40.92269,29.2909,Private room,420,1,0,,,19,357
44320113,Pera tunnel Suites,357485008,Yusuf,,Beyoglu,41.02961,28.97337,Entire home/apt,180,1,6,2020-10-20,0.73,7,1
44320237,Pera tunnel famıly room,357485008,Yusuf,,Beyoglu,41.03124,28.975,Entire home/apt,220,1,9,2021-04-02,1.13,7,362
44320277,Teras + Seyir + Barbekü Bulunan 2+1 Daire,298965429,Alpha,,Avcilar,40.98141,28.74264,Entire home/apt,294,1,6,2021-02-20,0.73,8,365
44320907,Aras home,357443118,Abbas,,Kagithane,41.07851,28.98345,Private room,97,1,0,,,1,0
44321190,Huzur,357498842,Cengizhan,,Kadikoy,40.9556,29.08731,Entire home/apt,350,5,1,2020-11-22,0.23,1,358
44321299,(1+1) 4 KİŞİLİK KAHVALTI DAHİL DAİRE,305126162,Emin,,Pendik,40.92427,29.29089,Private room,506,1,0,,,19,357
44321370,(1+1 )1 KİŞİLİK KAHVALTI DAHİL DAİRE,305126162,Emin,,Pendik,40.92395,29.28988,Private room,239,1,1,2020-10-01,0.16,19,357
44321516,(2+1) 3 KİŞİLİK KAHVALTI DAHİL DAİRE,305126162,Emin,,Pendik,40.92404,29.28964,Private room,506,1,2,2020-09-16,0.27,19,357
44321826,"Cosy, pretty home🌿",187063586,Emine,,Uskudar,41.01421,29.01644,Private room,100,2,3,2020-11-08,0.48,1,357
44322237,Yeşilin her tonu.... Mavinin güzelliği....,357515505,,,Sile,41.1553,29.72839,Private room,830,1,0,,,1,365
44326538,TAKSİM’E ÇOK YAKIN MESAFEDE 3+1 EŞYALI KONAKLAMA,197060137,Dilek,,Beyoglu,41.03637,28.99295,Entire home/apt,1826,7,0,,,1,363
44326858,Otel imkanlarından faydalanarak aylık kiralık oda,357573920,Ilknur,,Kadikoy,40.99081,29.0423,Private room,293,1,0,,,1,364
44328120,City center home,313657817,Taqiyev,,Besiktas,41.04539,29.00261,Entire home/apt,816,31,0,,,1,179
44328669,Avcılar Ekonomik Günlük Kiralık Suit Daire,298965429,Alpha,,Avcilar,40.98309,28.7446,Entire home/apt,207,1,3,2021-03-24,0.54,8,365
44329328,Cam Banyolu Ultra Lüx Suit Daire,298965429,Alpha,,Avcilar,40.98173,28.74216,Entire home/apt,230,1,0,,,8,365
44329718,Superior Apartment Near to Galata Tower (for3per.),332820813,Özgür,,Beyoglu,41.02803,28.97479,Entire home/apt,253,1,17,2021-03-27,2.24,10,227
44331094,Cosy Apartment with Balcony in Central Istanbul. 1,259032796,Ramood,,Sisli,41.05204,28.98742,Entire home/apt,485,1,0,,,13,316
44331180,Cosy Apartment with Balcony in Central Istanbul 2,259032796,Ramood,,Sisli,41.05075,28.98792,Entire home/apt,498,1,0,,,13,351
44332369,Temiz hijyenik ve konforlu daire.,280313515,Özgün,,Kadikoy,40.99582,29.05594,Entire home/apt,350,7,0,,,1,179
44332380,Private Room in a New Building.,316041047,Burakcan,,Kadikoy,40.99803,29.0484,Private room,80,1,0,,,1,90
44333338,Family Apartment w/Balcony  in Galata by Selvese,238914184,Selvese Luxury,,Beyoglu,41.0265,28.97803,Entire home/apt,1036,1,1,2020-11-22,0.23,4,365
44333592,Kiralık Oda,104229126,Gülnur,,Kucukcekmece,40.99605,28.79316,Private room,89,1,0,,,1,83
44333744,Cozy Apartment w/Terrace by Selvese,238914184,Selvese Luxury,,Beyoglu,41.0265,28.97802,Entire home/apt,932,1,1,2020-11-22,0.23,4,365
44333959,Executive Suite w/Balcony by Selvese,238914184,Selvese Luxury,,Beyoglu,41.02646,28.978,Entire home/apt,1009,1,0,,,4,365
44334184,Cozy Apartment w/Balcony and Kitchen by Selvese,238914184,Selvese Luxury,,Beyoglu,41.02645,28.97798,Entire home/apt,358,1,1,2021-02-07,0.54,4,365
44334369,"Very Central, Bright & Comfortable Flat in Taksim",8519024,Mert,,Beyoglu,41.03278,28.97692,Entire home/apt,344,1,15,2021-02-20,1.88,4,339
44334584,"Bahçelievler bölgesinde eğlenceli, sakin bir ev",357651217,Barış,,Bahcelievler,41.00594,28.85153,Private room,80,1,0,,,1,0
44335191,Belgrad ormanına 1 dk mesafede,357655420,Ümit,,Sariyer,41.18266,28.98933,Entire home/apt,1380,1,10,2020-08-06,1.19,1,365
44336077,AWWA APART HOTEL 1,302897457,Emrah,,Fatih,41.00371,28.97098,Entire home/apt,342,1,4,2020-11-04,0.49,7,90
44336308,Aytaç’s sweet home,357477438,Aytaç,,Kucukcekmece,40.98902,28.77955,Private room,90,1,0,,,2,90
44336361,AWWA APART HOTEL 2,302897457,Emrah,,Fatih,41.00371,28.97097,Entire home/apt,389,1,2,2020-12-10,0.27,7,61
44336473,AWWA APART HOTEL 3,302897457,Emrah,,Fatih,41.00371,28.97098,Entire home/apt,391,1,0,,,7,90
44336728,Our flat in central of istanboul,349274453,Ahmed,,Sisli,41.04581,28.97896,Private room,85,10,0,,,3,0
44337056,"2+1, safe, cosy appartment heart of the Istanbul.",9910238,Murat,,Sisli,41.06272,28.98724,Entire home/apt,365,2,4,2020-09-27,0.49,3,364
44337484,Studio for 1 person or a couple in Taksim square,357469334,Mohammed,,Beyoglu,41.03914,28.98162,Entire home/apt,405,1,0,,,1,173
44344421,Teşvikiye mahallesinde mobilyalı 1+1 daireler,414003,,,Sisli,41.05485,28.99682,Entire home/apt,525,3,1,2020-08-24,0.13,10,338
